Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_185148.0;-0.090;-1.004;9.973;-0.010;-0.004;0.001;178.7;-31.556;6.769;-59.963;5.0;-32.88081;-60.69667;46.6;15.4
20211011_185148.5;-0.523;-0.616;9.616;0.007;-0.021;-0.007;178.7;-31.463;3.769;-60.281;5.0;-32.88085;-60.69666;46.4;14.7
20211011_185149.0;-0.791;-0.961;9.765;0.005;-0.022;-0.003;159.5;-31.556;6.769;-59.194;5.0;-32.88085;-60.69666;46.4;14.7
20211011_185149.5;-0.602;-0.396;9.205;0.051;-0.005;0.006;159.5;-31.800;5.194;-59.963;5.0;-32.88088;-60.69665;46.2;14.6
20211011_185150.0;-0.274;0.670;9.343;-0.037;-0.013;0.007;144.7;-31.200;4.706;-59.813;5.0;-32.88088;-60.69665;46.2;14.6
20211011_185150.5;-0.028;1.219;9.382;0.030;0.001;0.001;144.7;-31.819;5.981;-61.050;5.0;-32.88092;-60.69663;46.3;17.0
20211011_185151.0;-0.415;0.891;8.644;-0.007;0.001;0.008;144.7;-31.988;7.088;-60.881;5.0;-32.88092;-60.69663;46.3;17.0
20211011_185151.5;-0.267;1.068;10.259;0.008;-0.002;0.006;144.7;-30.919;4.706;-60.900;5.0;-32.88097;-60.69662;46.7;22.5
20211011_185152.0;-0.413;-1.562;10.052;-0.004;-0.011;-0.003;144.7;-32.175;3.300;-60.263;5.0;-32.88097;-60.69662;46.7;22.5
20211011_185152.5;-0.317;-0.542;9.370;-0.084;-0.000;-0.003;161.4;-32.213;4.575;-59.944;5.0;-32.88104;-60.69660;46.9;27.9
20211011_185153.0;-0.114;0.462;9.331;-0.008;0.017;-0.003;181.6;-31.238;5.813;-59.044;5.0;-32.88104;-60.69660;46.9;27.9
20211011_185153.5;-0.183;-0.053;10.546;0.018;0.010;0.015;181.6;-31.463;3.769;-59.963;5.0;-32.88110;-60.69658;47.3;28.8
20211011_185154.0;-0.379;0.278;9.363;-0.033;0.009;-0.007;202.2;-31.763;4.088;-60.731;5.0;-32.88110;-60.69658;47.3;28.8
20211011_185154.5;0.109;-0.091;9.200;-0.060;-0.038;-0.019;202.2;-31.256;6.600;-59.044;5.0;-32.88117;-60.69655;47.9;31.9
